# Ferrari - Bosch Tens, Val Bregaglia - ABAL - ITRDB CHE466
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41278
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41278.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che466-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che466.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che466.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Ferrari - Bosch Tens, Val Bregaglia - ABAL - ITRDB CHE466
#--------------------
# Investigators
#   Investigators: Ferrari, Michela; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: Elevation range: 1294 - 1327 m a.s.l.
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Ferrari M. 2024. Wachstum und Verbreitung der Weisstanne im Bergell. Master’s thesis. ETH Zurich, Zurich. doi:10.3929/ethz-b-000676922
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Bosch Tens, Val Bregaglia
#   Location: Switzerland
#   Northernmost_Latitude: 46.324500008
#   Southernmost_Latitude: 46.324500008
#   Easternmost_Longitude: 9.538698213
#   Westernmost_Longitude: 9.538698213
#   Elevation_m: 1310
#--------------------
# Data_Collection
#   Collection_Name: CHE466
#   First_Year: 1776
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TE01TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE01TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE02TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE02TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE03TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE03TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE04TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE04TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE05TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE05TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE16TB_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE16TB; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE18TB_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE18TB; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE20TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE20TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TE23TB_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TE23TB; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TE01TA_raw	TE02TA_raw	TE03TA_raw	TE04TA_raw	TE05TA_raw	TE16TB_raw	TE18TB_raw	TE20TA_raw	TE23TB_raw
1851	0.7	NA	1.52	NA	0.45	0.62	0.46	0.32	0.61
1852	1.05	NA	1.65	NA	0.52	0.78	0.51	0.37	0.6
1853	1.61	NA	1.85	NA	0.56	0.68	0.46	0.4	0.53
1854	1.31	NA	1.55	NA	0.77	0.72	0.58	0.44	0.51
1855	1.47	NA	1.46	NA	0.85	0.78	0.56	0.39	0.51
1856	1.34	NA	1.29	NA	1.13	0.7	0.52	0.46	0.46
1857	1.35	NA	1.09	NA	0.77	0.64	0.44	0.45	0.47
1858	0.74	NA	1.02	NA	0.9	0.79	0.39	0.45	0.55
1859	1.12	NA	1.21	NA	1.05	0.96	0.53	0.76	0.77
1860	0.97	NA	1.01	NA	0.6	0.69	0.39	0.44	0.54
1861	1.29	NA	1.03	NA	0.96	0.84	0.43	0.56	0.61
1862	1.03	NA	0.93	NA	1.01	0.69	0.41	0.46	0.49
1863	1.67	NA	0.93	NA	0.96	0.93	0.42	0.57	0.69
1864	1.68	NA	0.99	NA	1.08	1.14	0.4	0.57	0.77
1865	1.05	NA	0.8	NA	0.5	0.78	0.37	0.37	0.68
1866	1.52	NA	0.9	NA	0.89	1.11	0.59	0.5	0.64
1867	1.14	NA	0.86	NA	1.24	0.95	0.48	0.52	0.64
1868	0.84	NA	0.79	NA	1.15	0.87	0.52	0.46	0.54
1869	0.92	NA	0.78	NA	1.37	0.71	0.39	0.47	0.52
1870	0.91	NA	0.89	NA	1.21	0.68	0.4	0.44	0.52
1871	1.05	NA	0.83	NA	1.47	0.85	0.47	0.48	0.81
1872	0.81	NA	0.86	NA	1.42	0.85	0.54	0.46	0.66
1873	0.91	NA	0.9	NA	1.55	1.04	0.6	0.55	0.79
1874	0.84	NA	0.89	NA	1.48	0.79	0.43	0.57	0.39
1875	0.71	NA	0.94	NA	1.53	0.73	0.47	0.5	0.5
1876	0.87	NA	1.14	NA	1.37	0.85	0.54	0.5	0.51
1877	0.74	NA	1.02	NA	1.31	0.81	0.55	0.51	0.61
1878	1	NA	0.92	NA	1.38	0.89	0.51	0.48	0.63
1879	1	NA	0.92	NA	1.52	0.81	0.49	0.51	0.56
1880	1.15	NA	0.97	NA	1.46	0.85	0.68	0.47	0.57
1881	1.15	NA	0.96	NA	1.39	0.84	0.66	0.72	0.76
1882	0.98	NA	0.87	NA	1.35	0.78	0.63	0.7	0.53
1883	1.08	NA	0.86	NA	1.12	0.73	0.59	0.56	0.69
1884	0.98	NA	0.85	NA	1.09	0.72	0.56	0.61	0.63
1885	1.22	NA	0.93	NA	1.14	0.7	0.59	0.6	0.64
1886	1.54	NA	0.77	NA	1.14	0.62	0.57	0.56	0.63
1887	1.36	NA	0.81	NA	1.09	0.62	0.58	0.61	0.61
1888	1.56	NA	0.72	NA	0.84	0.54	0.49	0.42	0.44
1889	1.72	NA	0.89	NA	0.89	0.71	0.68	0.42	0.61
1890	1.64	NA	0.89	NA	1.02	0.56	0.62	0.47	0.42
1891	1.87	NA	0.94	NA	1.18	0.65	0.56	0.5	0.39
1892	1.62	NA	0.87	NA	1.04	0.68	0.62	0.46	0.38
1893	1.75	NA	0.75	NA	1.17	0.62	0.66	0.42	0.49
1894	1.43	NA	0.65	NA	1	0.49	0.64	0.42	0.38
1895	1.59	NA	0.74	NA	0.84	0.65	0.56	0.5	0.42
1896	1.41	NA	0.58	NA	0.67	0.55	0.51	0.34	0.32
1897	1.38	NA	0.68	NA	0.7	0.62	0.64	0.37	0.37
1898	1.54	NA	0.62	NA	0.9	0.52	0.59	0.34	0.35
1899	1.81	NA	0.54	NA	0.79	0.51	0.49	0.35	0.35
1900	1.58	NA	0.49	NA	0.5	0.53	0.63	0.37	0.3
1901	1.58	NA	0.56	NA	0.51	0.56	0.54	0.34	0.34
1902	2	NA	0.58	NA	0.5	0.76	0.68	0.38	0.31
1903	1.88	NA	0.51	NA	0.57	0.65	0.57	0.43	0.4
1904	2.02	NA	0.65	NA	0.61	0.7	0.67	0.5	0.45
1905	2.02	NA	0.7	NA	0.56	0.81	0.74	0.37	0.48
1906	1.6	NA	0.53	NA	0.66	0.77	0.76	0.34	0.45
1907	1.4	NA	0.57	NA	0.61	0.99	0.57	0.34	0.82
1908	1.22	NA	0.59	NA	0.49	1.4	0.8	0.37	0.67
1909	1.21	NA	0.53	NA	0.44	1.36	0	0.34	0.61
1910	1.34	NA	0.58	0.5	0.53	1.75	1.07	0.49	0.77
1911	1.58	NA	0.59	0.48	0.65	2.13	1.32	0.76	1.19
1912	0.91	NA	0.45	0.6	0.5	2.09	1.4	0.56	1.13
1913	0.84	NA	0.66	0.63	0.59	2.19	1.5	0.65	1.67
1914	1.46	NA	0.53	0.87	0.58	2.67	1.79	0.72	2.06
1915	1.14	NA	0.61	0.9	0.6	2.1	1.6	0.56	1.64
1916	1.5	NA	0.58	0.85	0.63	2.2	1.56	0.49	2.19
1917	1.29	NA	0.63	0.79	0.6	1.45	1.38	0.45	1.81
1918	1.05	NA	0.51	0.87	0.46	1.53	1.15	0.34	1.82
1919	0.77	NA	0.51	0.61	0.39	1.28	0.88	0.35	1.56
1920	0.92	NA	0.54	0.6	0.62	1.43	1.08	0.3	1.69
1921	0.71	NA	0.41	0.58	0.56	1.35	0.89	0.33	1.42
1922	0.63	NA	0.39	0.56	0.5	0.95	0.65	0.32	1.15
1923	0.72	NA	0.42	0.93	0.64	1.21	0.86	0.34	1.69
1924	0.58	NA	0.47	0.63	0.63	0.83	0.63	0.29	1.18
1925	0.69	NA	0.4	0.85	0.54	0.91	0.83	0.39	1.32
1926	0.89	NA	0.62	0.76	0.59	1.15	1.05	0.33	1.43
1927	1.03	NA	0.76	0.61	0.73	1.14	1.09	0.41	1.44
1928	1.07	NA	0.65	0.81	0.72	1.26	0.87	0.39	1.52
1929	0.91	NA	0.69	0.54	0.74	0.96	0.68	0.22	1.29
1930	0.96	NA	0.46	0.89	0.68	1	0.65	0.32	1.39
1931	1.15	NA	0.68	0.97	0.73	1.11	0.7	0.46	1.49
1932	1.04	NA	0.68	1.17	1.03	1.54	0.71	0.58	1.56
1933	0.94	NA	0.64	1.15	0.61	1.3	0.28	0.3	1.24
1934	0.82	NA	0.57	1.18	0.9	1.16	0.32	0.38	1.57
1935	0.91	NA	0.61	1.23	0.86	1.35	0.43	0.38	1.89
1936	0.83	NA	0.64	1.49	1.01	1.39	0.52	0.43	2.06
1937	1.03	NA	0.79	1.44	0.91	1.37	0.61	0.44	2.39
1938	0.93	NA	0.74	1.42	1.02	1.31	0.67	0.49	2.36
1939	0.7	3.6	0.74	1.31	0.87	1.29	0.6	0.46	2.18
1940	0.86	3.4	0.78	1.36	0.97	1.46	0.6	0.51	2.06
1941	0.88	2.86	0.72	1.29	1.14	1.55	0.78	0.44	2.16
1942	0.77	2.94	0.62	1.36	1.01	1.26	0.65	0.46	1.75
1943	0.65	3.4	0.67	1.92	1.05	1.46	0.68	0.49	1.48
1944	0.67	2.7	0.64	1.77	1.05	1.46	0.55	0.43	1.72
1945	0.6	2.59	0.7	1.6	0.83	1.26	0.54	0.37	1.8
1946	0.61	3.27	0.71	1.77	1.02	1.21	0.66	0.4	1.89
1947	0.51	2.92	0.88	2.01	0.95	1.16	0.52	0.44	1.7
1948	0.57	3.07	0.79	1.58	1.15	1.16	0.6	0.39	1.43
1949	0.7	2.46	0.76	2.1	1.02	1.46	0.66	0.48	2.2
1950	0.64	2.86	0.86	2.02	1.33	1.35	0.56	0.63	2.01
1951	0.59	2.85	0.87	1.94	1.09	1.21	0.46	0.48	1.97
1952	0.82	2.61	0.83	2.29	1.13	1.84	0.81	0.53	2.15
1953	0.64	2.66	0.75	1.84	0.94	1.85	0.62	0.39	1.83
1954	0.8	2.55	0.81	1.88	0.96	1.8	0.63	0.56	1.97
1955	0.87	2.72	0.96	2.1	1.2	1.8	0.7	0.52	2.03
1956	0.82	2.42	0.95	2.02	1.17	1.56	0.59	0.54	1.91
1957	1	2.42	0.98	2.2	1.05	1.42	0.6	0.6	1.63
1958	0.87	2.42	0.91	2.29	0.96	1.29	0.54	0.61	1.41
1959	1.07	2.43	0.99	2.71	1.06	1.42	0.59	0.53	1.44
1960	0.86	2.24	1.04	2.17	0.9	1.15	0.68	0.54	1.38
1961	0.97	2.33	0.96	2.25	0.86	1	0.6	0.39	1.32
1962	0.76	1.44	0.76	1.5	0.74	0.96	0.67	0.46	1.07
1963	0.57	1.41	0.81	1.59	0.67	0.78	0.59	0.41	0.93
1964	0.6	2.15	0.74	2.07	0.78	1.06	0.55	0.33	0.82
1965	0.73	2.21	0.95	2.07	0.82	1.04	1.03	0.4	0.64
1966	0.61	1.82	1.04	1.84	0.76	0.95	1.02	0.39	0.51
1967	0.8	1.95	0.97	2.13	0.67	1.38	0.73	0.47	0.61
1968	0.77	2.29	1.15	2.1	0.77	1.3	1.45	0.44	0.56
1969	0.79	2	1.06	1.99	0.71	1.2	1.34	0.45	0.61
1970	0.82	1.85	1.25	2.03	0.76	1.15	1.57	0.34	0.85
1971	0.78	1.87	1.02	2	0.89	1.44	1.7	0.14	1.1
1972	0.69	1.61	0.93	2.35	0.73	1.25	1.8	0.12	0.6
1973	0.72	1.84	1.11	1.94	0.81	1.14	1.77	0.32	0.67
1974	0.61	1.8	1	1.9	0.67	1.21	1.43	0.29	0.43
1975	0.77	1.74	1.11	2.5	0.83	1.4	1.61	0.49	0.51
1976	0.71	1.49	0.95	2.33	0.75	1.48	1.53	0.63	0.56
1977	0.61	1.89	1.05	2.19	0.8	1.16	1.49	0.85	0.68
1978	0.65	1.9	0.95	2.01	0.75	1.34	1.2	0.92	0.62
1979	0.62	1.75	0.9	1.63	0.88	1.23	1.26	0.91	0.85
1980	0.59	1.45	0.78	2.04	0.68	1.01	1.08	0.97	0.76
1981	0.59	0.9	0.64	1.83	0.82	1.04	0.91	0.8	0.78
1982	0.7	1.25	0.84	1.76	1	1.08	1.21	0.97	0.73
1983	0.75	1.58	0.98	1.77	1.04	0.98	1	0.85	0.71
1984	0.64	1.32	0.78	1.52	0.84	0.83	0.79	0.82	0.74
1985	0.87	1.99	1.21	1.72	1.18	0.94	1.02	1	1.05
1986	0.74	1.42	0.81	1.3	0.85	0.93	0.75	0.63	0.67
1987	0.76	1.96	0.87	1.52	1.1	1.11	0.68	0.68	0.96
1988	0.62	1.89	0.85	1.38	1.06	1.06	0.73	0.77	1.05
1989	0.67	2.31	0.82	1.74	1.4	1.25	0.9	1.08	1.37
1990	0.85	2.02	0.75	1.71	1.23	1.16	0.95	1.19	1.52
1991	1.01	2.25	0.71	1.56	1.02	1.33	1.12	1.59	1.48
1992	0.77	2.16	0.65	1.21	0.92	1.01	0.88	1.25	1.14
1993	0.67	2.18	0.67	1.22	0.82	0.82	0.88	1.08	1.01
1994	0.91	2.09	0.55	1.43	0.83	1.11	1.06	1.36	1.26
1995	1.01	2.45	0.57	1.71	1.04	1.24	0.93	1.54	1.68
1996	0.97	2.2	0.67	1.52	0.76	1.34	0.73	1.34	1.56
1997	1.31	2.48	0.7	1.78	1.01	1.77	0.91	1.61	1.8
1998	1.21	2.35	0.59	1.83	0.86	1.57	1.17	1.39	1.53
1999	0.94	2.28	0.63	1.7	0.73	1.24	0.94	1.25	1.4
2000	1.1	2.03	0.64	1.68	0.72	1.37	1.08	1.22	1.09
2001	1.26	2.18	0.61	1.68	0.78	1.51	1.37	1.5	1.04
2002	1.46	2.38	0.67	1.78	0.89	1.29	0.97	1.64	1.21
2003	1.53	2.34	0.63	1.92	0.84	1.29	1.06	1.48	1.06
2004	1.16	2.29	0.55	1.82	0.93	1	1.07	1.01	0.7
2005	1.25	2.08	0.64	1.62	0.79	1.16	0.94	1.11	0.7
2006	1.32	2.09	0.53	1.43	0.77	1.11	0.81	1.02	0.64
2007	1.5	2.5	0.56	1.63	0.65	0.91	0.91	0.96	0.65
2008	1.48	2.33	0.47	1.56	0.6	0.97	1.3	1.11	0.66
2009	1.58	2.04	0.41	1.34	0.57	1.14	1.24	1.05	0.55
2010	1.57	1.66	0.34	1.57	0.48	1.24	1.02	1.03	0.54
2011	1.55	1.95	0.42	1.5	0.55	1.21	1.13	1.07	0.59
2012	1.23	1.94	0.45	1.76	0.63	1.31	1.04	1.07	0.86
