# Esper - Mount Smolikas Update - PIHE - ITRDB GRC055
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42228
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42228.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/grc055x-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/grc055x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/grc055x.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-23
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-23
#--------------------
# Title
#   Study_Name: Esper - Mount Smolikas Update - PIHE - ITRDB GRC055
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: MXD data
#--------------------
# Publication
#   Authors: Lara Klippel, Paul J. Krusic, Robert Brandes, Claudia Hartl-Meier, Valerie Trouet, Matthew Meko, Jan Esper
#   Published_Date_or_Year: 2017
#   Published_Title: High-elevation inter-site differences in Mount Smolikas tree-ring width data
#   Journal_Name: Dendrochronologia
#   Volume: 44
#   Edition:
#   Issue: None
#   Pages: 164-173
#   Report_Number: None
#   DOI: 10.1016/j.dendro.2017.05.006
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Lara Klippel, Paul J. Krusic, Robert Brandes, Claudia Hartl, Soumaya Belmecheri, Manuel Dienst, Jan Esper
#   Published_Date_or_Year: 2018
#   Published_Title: A 1286-year hydro-climate reconstruction for the Balkan Peninsula
#   Journal_Name: Boreas
#   Volume: None
#   Edition:
#   Issue: None
#   Pages: None
#   Report_Number: None
#   DOI: 10.1111/bor.12320
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Mount Smolikas
#   Location: Greece
#   Northernmost_Latitude: 40.106775
#   Southernmost_Latitude: 40.106775
#   Easternmost_Longitude: 20.984423
#   Westernmost_Longitude: 20.984423
#   Elevation_m: 2070
#--------------------
# Data_Collection
#   Collection_Name: GRC055
#   First_Year: 715
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus heldreichii Christ
#   Common_Name: Heldreich's pine
#   Tree_Species_Code: PIHE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## EHS0433A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0433A
## EHS0433B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0433B
## EHS0439A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0439A
## EHS0439B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0439B
## EHS0441A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0441A
## EHS0441B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0441B
## EHS0445A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0445A
## EHS0448A_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0448A
## EHS0448B_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: EHS0448B
#---------------------
# Data:
# Missing_Values: NA
age_CE	EHS0433A_raw	EHS0433B_raw	EHS0439A_raw	EHS0439B_raw	EHS0441A_raw	EHS0441B_raw	EHS0445A_raw	EHS0448A_raw	EHS0448B_raw
796	NA	NA	NA	NA	NA	NA	NA	0.7	0.73
797	NA	NA	NA	NA	NA	NA	NA	0.76	0.74
798	NA	NA	NA	NA	NA	NA	NA	0.74	0.74
799	NA	NA	NA	NA	NA	NA	NA	0.72	0.72
800	NA	NA	NA	NA	NA	NA	NA	0.76	0.76
801	NA	NA	NA	NA	NA	NA	NA	0.72	0.71
802	NA	NA	NA	NA	NA	NA	NA	0.73	0.71
803	NA	NA	NA	NA	NA	NA	NA	0.73	0.73
804	NA	NA	NA	NA	NA	NA	NA	0.68	0.63
805	NA	NA	NA	NA	NA	NA	NA	0.67	0.73
806	NA	NA	NA	NA	NA	NA	NA	0.63	0.66
807	NA	NA	NA	NA	NA	NA	NA	0.66	0.72
808	NA	NA	NA	NA	NA	NA	NA	0.73	0.77
809	NA	NA	NA	NA	NA	NA	NA	0.69	0.73
810	NA	NA	NA	NA	NA	NA	NA	0.72	0.69
811	NA	NA	NA	NA	NA	NA	NA	0.69	0.73
812	NA	NA	NA	NA	NA	NA	NA	0.69	0.7
813	NA	NA	NA	NA	NA	NA	NA	0.7	0.7
814	NA	NA	NA	NA	NA	NA	0.61	0.69	0.72
815	NA	NA	NA	NA	NA	NA	0.65	0.71	0.74
816	NA	NA	NA	NA	NA	NA	0.68	0.65	0.72
817	NA	NA	NA	NA	NA	NA	0.67	0.74	0.73
818	NA	NA	NA	NA	NA	NA	0.63	0.67	0.66
819	NA	NA	NA	NA	NA	NA	0.6	0.7	0.68
820	NA	NA	NA	NA	NA	NA	0.63	0.68	0.67
821	NA	NA	NA	NA	NA	NA	0.61	0.68	0.63
822	NA	NA	NA	NA	NA	NA	0.69	0.68	0.66
823	NA	NA	NA	NA	NA	NA	0.65	0.72	0.68
824	NA	NA	NA	NA	NA	NA	0.74	0.73	0.65
825	NA	NA	NA	NA	NA	NA	0.67	0.77	0.67
826	NA	NA	NA	NA	NA	NA	0.74	0.68	0.64
827	NA	NA	NA	NA	NA	NA	0.75	0.71	0.68
828	NA	NA	NA	NA	NA	NA	0.68	0.76	0.7
829	NA	NA	NA	NA	NA	NA	0.66	0.69	0.66
830	NA	NA	NA	NA	NA	NA	0.72	0.71	0.66
831	NA	NA	NA	NA	NA	NA	0.72	0.67	0.65
832	NA	NA	NA	NA	NA	NA	0.67	0.69	0.63
833	NA	NA	NA	NA	NA	NA	0.67	0.72	0.67
834	NA	NA	NA	NA	NA	NA	0.62	0.71	0.7
835	NA	NA	NA	NA	NA	NA	0.62	0.68	0.71
836	NA	NA	NA	NA	NA	NA	0.68	0.66	0.64
837	NA	NA	NA	NA	NA	NA	0.64	0.66	0.61
838	NA	NA	NA	NA	NA	NA	0.73	0.65	0.67
839	NA	NA	NA	NA	NA	NA	0.73	NA	NA
840	NA	NA	NA	NA	NA	NA	0.73	NA	NA
841	NA	NA	NA	NA	NA	NA	0.72	NA	NA
842	NA	NA	NA	NA	NA	NA	0.71	NA	NA
843	NA	NA	NA	NA	NA	NA	0.82	NA	NA
844	NA	NA	NA	NA	NA	NA	0.71	NA	NA
845	NA	NA	NA	NA	NA	NA	0.76	NA	NA
846	NA	NA	NA	NA	NA	NA	0.71	NA	NA
847	NA	NA	NA	NA	NA	NA	0.75	NA	NA
848	NA	NA	NA	NA	NA	NA	0.72	NA	NA
849	NA	NA	NA	NA	NA	NA	0.71	NA	NA
850	NA	NA	NA	NA	NA	NA	0.73	NA	NA
851	NA	NA	NA	NA	NA	NA	0.67	NA	NA
852	NA	NA	NA	NA	NA	NA	0.66	NA	NA
853	NA	NA	NA	NA	NA	NA	0.6	NA	NA
854	NA	NA	NA	NA	NA	NA	0.69	NA	NA
855	NA	NA	NA	NA	NA	NA	0.69	NA	NA
856	NA	NA	NA	NA	NA	NA	0.67	NA	NA
857	NA	NA	NA	NA	NA	NA	0.72	NA	NA
858	NA	NA	NA	NA	NA	NA	0.74	NA	NA
859	NA	NA	NA	NA	NA	NA	0.7	NA	NA
860	NA	NA	NA	NA	NA	NA	0.71	NA	NA
861	NA	NA	NA	NA	NA	NA	0.71	NA	NA
862	NA	NA	NA	NA	NA	NA	0.63	NA	NA
863	NA	NA	NA	NA	NA	NA	0.71	NA	NA
864	NA	NA	NA	NA	NA	NA	0.71	NA	NA
865	NA	NA	NA	NA	NA	NA	0.68	NA	NA
866	NA	NA	NA	NA	NA	NA	0.66	NA	NA
867	NA	NA	NA	NA	NA	NA	0.67	NA	NA
868	NA	NA	NA	NA	NA	NA	0.74	NA	NA
869	NA	NA	NA	NA	NA	NA	0.76	NA	NA
870	NA	NA	NA	NA	NA	NA	0.65	NA	NA
871	NA	NA	NA	NA	NA	NA	0.7	NA	NA
872	NA	NA	NA	NA	NA	NA	0.71	NA	NA
873	NA	NA	NA	NA	NA	NA	0.76	NA	NA
874	NA	NA	NA	NA	NA	NA	0.72	NA	NA
875	NA	NA	NA	NA	NA	NA	0.67	NA	NA
876	NA	NA	NA	NA	NA	NA	0.66	NA	NA
877	NA	NA	NA	NA	NA	NA	0.69	NA	NA
878	NA	NA	NA	NA	NA	NA	0.68	NA	NA
879	NA	NA	NA	NA	NA	NA	0.65	NA	NA
880	NA	NA	NA	NA	NA	NA	0.72	NA	NA
881	NA	NA	NA	NA	NA	NA	0.71	NA	NA
882	NA	NA	NA	NA	NA	NA	0.69	NA	NA
883	NA	NA	NA	NA	NA	NA	0.66	NA	NA
884	NA	NA	NA	NA	NA	NA	0.67	NA	NA
885	NA	NA	NA	NA	NA	NA	0.71	NA	NA
886	NA	NA	NA	NA	NA	NA	0.67	NA	NA
887	NA	NA	NA	NA	NA	NA	0.69	NA	NA
888	NA	NA	NA	NA	NA	NA	0.63	NA	NA
889	NA	NA	NA	NA	NA	NA	0.67	NA	NA
890	NA	NA	NA	NA	NA	NA	0.71	NA	NA
891	NA	NA	NA	NA	NA	NA	0.64	NA	NA
892	NA	NA	NA	NA	NA	NA	0.72	NA	NA
893	NA	NA	NA	NA	NA	NA	0.73	NA	NA
894	NA	NA	NA	NA	NA	NA	0.72	NA	NA
895	NA	NA	NA	NA	NA	NA	0.64	NA	NA
896	NA	NA	NA	NA	NA	NA	0.63	NA	NA
897	NA	NA	NA	NA	NA	NA	0.65	NA	NA
898	NA	NA	NA	NA	NA	NA	0.7	NA	NA
899	NA	NA	NA	NA	NA	NA	0.66	NA	NA
900	NA	NA	NA	NA	NA	NA	0.64	NA	NA
901	NA	NA	NA	NA	NA	NA	0.7	NA	NA
902	NA	NA	NA	NA	NA	NA	0.72	NA	NA
903	NA	NA	NA	NA	NA	NA	0.71	NA	NA
904	NA	NA	NA	NA	NA	NA	0.73	NA	NA
905	NA	NA	NA	NA	NA	NA	0.75	NA	NA
906	NA	NA	NA	NA	NA	NA	0.69	NA	NA
907	NA	NA	NA	NA	NA	NA	0.71	NA	NA
908	NA	NA	NA	NA	NA	NA	0.67	NA	NA
909	NA	NA	NA	NA	NA	NA	0.69	NA	NA
910	NA	NA	NA	NA	NA	NA	0.7	NA	NA
911	NA	NA	NA	NA	NA	NA	0.61	NA	NA
912	NA	NA	NA	NA	NA	NA	0.62	NA	NA
913	NA	NA	NA	NA	NA	NA	0.61	NA	NA
914	NA	NA	NA	NA	NA	NA	0.72	NA	NA
915	NA	NA	NA	NA	NA	NA	0.69	NA	NA
916	NA	NA	NA	NA	NA	NA	0.66	NA	NA
917	NA	NA	NA	NA	NA	NA	0.74	NA	NA
918	NA	NA	NA	NA	NA	NA	0.66	NA	NA
919	NA	NA	NA	NA	NA	NA	0.7	NA	NA
920	NA	NA	NA	NA	NA	NA	0.59	NA	NA
921	NA	NA	NA	NA	NA	NA	0.68	NA	NA
922	NA	NA	NA	NA	NA	NA	0.68	NA	NA
923	NA	NA	NA	NA	NA	NA	0.64	NA	NA
924	NA	NA	NA	NA	NA	NA	0.64	NA	NA
925	NA	NA	NA	NA	NA	NA	0.7	NA	NA
926	NA	NA	NA	NA	NA	NA	0.69	NA	NA
927	NA	NA	NA	NA	NA	NA	0.69	NA	NA
928	NA	NA	NA	NA	NA	NA	0.63	NA	NA
929	NA	NA	NA	NA	NA	NA	0.62	NA	NA
930	NA	NA	NA	NA	NA	NA	0.63	NA	NA
931	NA	NA	NA	NA	NA	NA	0.69	NA	NA
932	NA	NA	NA	NA	NA	NA	0.67	NA	NA
933	NA	NA	NA	NA	NA	NA	0.73	NA	NA
934	NA	NA	NA	NA	NA	NA	0.71	NA	NA
935	NA	NA	NA	NA	NA	NA	0.66	NA	NA
936	NA	NA	NA	NA	NA	NA	0.72	NA	NA
937	NA	NA	NA	NA	NA	NA	0.72	NA	NA
938	NA	NA	NA	NA	NA	NA	0.7	NA	NA
939	NA	NA	NA	NA	NA	NA	0.66	NA	NA
940	NA	NA	NA	NA	NA	NA	0.67	NA	NA
941	NA	NA	NA	NA	NA	NA	0.65	NA	NA
942	NA	NA	NA	NA	NA	NA	0.63	NA	NA
943	NA	NA	NA	NA	NA	NA	0.7	NA	NA
944	NA	NA	NA	NA	NA	NA	0.68	NA	NA
945	NA	NA	NA	NA	NA	NA	0.66	NA	NA
946	NA	NA	NA	NA	NA	NA	0.61	NA	NA
947	NA	NA	NA	NA	NA	NA	0.66	NA	NA
948	NA	NA	NA	NA	NA	NA	0.69	NA	NA
949	NA	NA	NA	NA	NA	NA	0.67	NA	NA
950	NA	NA	NA	NA	NA	NA	0.71	NA	NA
951	NA	NA	NA	NA	NA	NA	0.69	NA	NA
952	NA	NA	NA	NA	NA	NA	0.72	NA	NA
953	NA	NA	NA	NA	NA	NA	0.72	NA	NA
954	NA	NA	NA	NA	NA	NA	0.73	NA	NA
955	NA	NA	NA	NA	NA	NA	0.69	NA	NA
956	NA	NA	NA	NA	NA	NA	0.72	NA	NA
957	NA	NA	NA	NA	NA	NA	0.64	NA	NA
958	NA	NA	NA	NA	NA	NA	0.66	NA	NA
959	NA	NA	NA	NA	NA	NA	0.67	NA	NA
960	NA	NA	NA	NA	NA	NA	0.73	NA	NA
961	NA	NA	NA	NA	NA	NA	0.74	NA	NA
962	NA	NA	NA	NA	NA	NA	0.63	NA	NA
963	NA	NA	NA	NA	NA	NA	0.73	NA	NA
964	NA	NA	NA	NA	NA	NA	0.73	NA	NA
965	NA	NA	NA	NA	NA	NA	0.69	NA	NA
966	NA	NA	NA	NA	NA	NA	0.69	NA	NA
967	NA	NA	NA	NA	NA	NA	0.68	NA	NA
968	NA	NA	NA	NA	NA	NA	0.64	NA	NA
969	NA	NA	NA	NA	NA	NA	0.57	NA	NA
970	NA	NA	NA	NA	NA	NA	0.6	NA	NA
971	NA	NA	NA	NA	NA	NA	0.64	NA	NA
972	NA	NA	NA	NA	NA	NA	0.59	NA	NA
973	NA	NA	NA	NA	NA	NA	0.61	NA	NA
974	NA	NA	NA	NA	NA	NA	0.59	NA	NA
975	NA	NA	NA	NA	NA	NA	0.59	NA	NA
976	NA	NA	NA	NA	NA	NA	0.54	NA	NA
977	NA	NA	NA	NA	NA	NA	0.56	NA	NA
978	NA	NA	NA	NA	NA	NA	0.58	NA	NA
979	NA	NA	NA	NA	NA	NA	0.63	NA	NA
980	NA	NA	NA	NA	NA	NA	0.69	NA	NA
981	NA	NA	NA	NA	NA	NA	0.64	NA	NA
982	NA	NA	NA	NA	NA	NA	0.68	NA	NA
983	NA	NA	NA	NA	NA	NA	0.65	NA	NA
984	NA	NA	NA	NA	NA	NA	0.65	NA	NA
985	NA	NA	NA	NA	NA	NA	0.65	NA	NA
986	NA	NA	NA	NA	NA	NA	0.65	NA	NA
987	NA	NA	NA	NA	NA	NA	0.61	NA	NA
988	NA	NA	NA	NA	NA	NA	0.63	NA	NA
989	NA	NA	NA	NA	NA	NA	0.65	NA	NA
990	NA	NA	NA	NA	NA	NA	0.66	NA	NA
991	NA	NA	NA	NA	NA	NA	0.67	NA	NA
992	NA	NA	NA	NA	NA	NA	0.62	NA	NA
993	NA	NA	NA	NA	NA	NA	0.61	NA	NA
994	NA	NA	NA	NA	NA	NA	0.69	NA	NA
995	NA	NA	NA	NA	NA	NA	0.72	NA	NA
996	NA	NA	NA	NA	NA	NA	0.69	NA	NA
997	NA	NA	NA	NA	NA	NA	0.66	NA	NA
998	NA	NA	NA	NA	NA	NA	0.69	NA	NA
999	NA	NA	NA	NA	NA	NA	0.65	NA	NA
1000	NA	NA	NA	NA	NA	NA	0.6	NA	NA
1001	NA	NA	NA	NA	NA	NA	0.65	NA	NA
1002	NA	NA	NA	NA	NA	NA	0.63	NA	NA
1003	NA	NA	NA	NA	NA	NA	0.64	NA	NA
1004	NA	NA	NA	NA	NA	NA	0.65	NA	NA
1005	NA	NA	NA	NA	NA	NA	0.64	NA	NA
1006	NA	NA	NA	NA	NA	NA	0.63	NA	NA
1007	NA	NA	NA	NA	NA	NA	0.64	NA	NA
