"Study","XML_FileName","rwlFile","status","error","nSeries","nCells","firstYear","lastYear","precision","nGaps","nGapCells","nRenamed","events","nWarnings","warnings"
"CO641","noaa-tree-10451.xml","./data_files/treering/measurements/northamerica/usa/co641.rwl","ok",NA,29,6360,1566,2003,NA,NA,NA,NA,"",1,"In ./data_files/treering/measurements/northamerica/usa/co641.rwl, series vbu183 is entered as 2 separately terminated records that share no year: 1573-1607, 1615-1660. They have been read as one series with a 7-year gap where the file records nothing. Entering one core as several terminated records is allowable and usually means just that. Worth a look only to rule out the other reading, that these are different cores sharing an ID."
"VIET001","noaa-tree-10453.xml","./data_files/treering/measurements/asia/viet001.rwl","ok",NA,82,33511,1030,2008,NA,NA,NA,NA,"",0,""
"SPAI060","noaa-tree-10468.xml","./data_files/treering/measurements/europe/spai060.rwl","ok",NA,23,1290,1931,2008,NA,NA,NA,NA,"",0,""
"SPAI061","noaa-tree-10469.xml","./data_files/treering/measurements/europe/spai061.rwl","ok",NA,52,2241,1937,2008,NA,NA,NA,NA,"",0,""
"SPAI062","noaa-tree-10470.xml","./data_files/treering/measurements/europe/spai062.rwl","ok",NA,31,1722,1900,2008,NA,NA,NA,NA,"",0,""
"SPAI063","noaa-tree-10471.xml","./data_files/treering/measurements/europe/spai063.rwl","ok",NA,29,1168,1956,2008,NA,NA,NA,NA,"",0,""
"SPAI064","noaa-tree-10472.xml","./data_files/treering/measurements/europe/spai064.rwl","ok",NA,20,658,1972,2007,NA,NA,NA,NA,"",0,""
"SPAI065","noaa-tree-10473.xml","./data_files/treering/measurements/europe/spai065.rwl","ok",NA,20,658,1966,2007,NA,NA,NA,NA,"",0,""
"SPAI066","noaa-tree-10474.xml","./data_files/treering/measurements/europe/spai066.rwl","ok",NA,16,656,1958,2007,NA,NA,NA,NA,"",0,""
"SPAI067","noaa-tree-10475.xml","./data_files/treering/measurements/europe/spai067.rwl","ok",NA,54,2084,1948,2007,NA,NA,NA,NA,"",0,""
"TN030","noaa-tree-10476.xml","./data_files/treering/measurements/northamerica/usa/tn030.rwl","ok",NA,25,6351,1500,2006,NA,NA,NA,NA,"",1,"In ./data_files/treering/measurements/northamerica/usa/tn030.rwl, series FC310a is entered as 2 separately terminated records that share no year: 1622-1799, 1829-2006. They have been read as one series with a 29-year gap where the file records nothing. Entering one core as several terminated records is allowable and usually means just that. Worth a look only to rule out the other reading, that these are different cores sharing an ID."
"BRIT054","noaa-tree-10508.xml","./data_files/treering/measurements/europe/brit054.rwl","ok",NA,14,2928,1666,2008,NA,NA,NA,NA,"",0,""
"BRIT055","noaa-tree-10509.xml","./data_files/treering/measurements/europe/brit055.rwl","ok",NA,18,3213,1642,2004,NA,NA,NA,NA,"",0,""
"BRIT056","noaa-tree-10510.xml","./data_files/treering/measurements/europe/brit056.rwl","ok",NA,15,2854,1786,1997,NA,NA,NA,NA,"",0,""
"BRIT057","noaa-tree-10511.xml","./data_files/treering/measurements/europe/brit057.rwl","ok",NA,35,6000,1736,2006,NA,NA,NA,NA,"",0,""
"BRIT058","noaa-tree-10512.xml","./data_files/treering/measurements/europe/brit058.rwl","ok",NA,13,1669,1845,2001,NA,NA,NA,NA,"",0,""
"NC019","noaa-tree-10668.xml","./data_files/treering/measurements/northamerica/usa/nc019.rwl","ok",NA,31,7747,1559,1982,NA,NA,NA,NA,"",0,""
"GERM065","noaa-tree-10671.xml","./data_files/treering/measurements/europe/germ065.rwl","ok",NA,2,76,1342,1387,NA,NA,NA,NA,"",0,""
"GERM066","noaa-tree-10672.xml","./data_files/treering/measurements/europe/germ066.rwl","ok",NA,5,234,1264,1338,NA,NA,NA,NA,"",0,""
"GERM067","noaa-tree-10673.xml","./data_files/treering/measurements/europe/germ067.rwl","ok",NA,2,110,1748,1802,NA,NA,NA,NA,"",0,""
"GERM068","noaa-tree-10674.xml","./data_files/treering/measurements/europe/germ068.rwl","ok",NA,5,390,1490,1607,NA,NA,NA,NA,"",0,""
"GERM069","noaa-tree-10676.xml","./data_files/treering/measurements/europe/germ069.rwl","ok",NA,22,1857,1591,1826,NA,NA,NA,NA,"",0,""
"GERM070","noaa-tree-10677.xml","./data_files/treering/measurements/europe/germ070.rwl","ok",NA,22,1534,1562,1710,NA,NA,NA,NA,"",0,""
"GERM071","noaa-tree-10678.xml","./data_files/treering/measurements/europe/germ071.rwl","ok",NA,28,3017,1475,1642,NA,NA,NA,NA,"",0,""
"GERM072","noaa-tree-10679.xml","./data_files/treering/measurements/europe/germ072.rwl","ok",NA,21,2064,1498,1642,NA,NA,NA,NA,"",0,""
"GERM073","noaa-tree-10680.xml","./data_files/treering/measurements/europe/germ073.rwl","ok",NA,18,1340,1621,1752,NA,NA,NA,NA,"",0,""
"GERM074","noaa-tree-10681.xml","./data_files/treering/measurements/europe/germ074.rwl","ok",NA,15,960,1233,1332,NA,NA,NA,NA,"",0,""
"GERM075","noaa-tree-10682.xml","./data_files/treering/measurements/europe/germ075.rwl","ok",NA,4,485,1724,1901,NA,NA,NA,NA,"",0,""
"GERM077","noaa-tree-10683.xml","./data_files/treering/measurements/europe/germ077.rwl","ok",NA,2,142,1629,1717,NA,NA,NA,NA,"",0,""
"GERM078","noaa-tree-10684.xml","./data_files/treering/measurements/europe/germ078.rwl","ok",NA,4,226,1534,1659,NA,NA,NA,NA,"",0,""
"GERM079","noaa-tree-10685.xml","./data_files/treering/measurements/europe/germ079.rwl","ok",NA,4,168,1490,1538,NA,NA,NA,NA,"",0,""
"GERM080","noaa-tree-10687.xml","./data_files/treering/measurements/europe/germ080.rwl","ok",NA,2,88,1410,1455,NA,NA,NA,NA,"",0,""
"GERM081","noaa-tree-10688.xml","./data_files/treering/measurements/europe/germ081.rwl","ok",NA,3,210,1703,1807,NA,NA,NA,NA,"",0,""
"GERM083","noaa-tree-10689.xml","./data_files/treering/measurements/europe/germ083.rwl","ok",NA,16,839,1724,1808,NA,NA,NA,NA,"",0,""
"GERM084","noaa-tree-10690.xml","./data_files/treering/measurements/europe/germ084.rwl","ok",NA,9,516,1499,1607,NA,NA,NA,NA,"",0,""
"GERM085","noaa-tree-10691.xml","./data_files/treering/measurements/europe/germ085.rwl","ok",NA,2,117,1626,1698,NA,NA,NA,NA,"",0,""
"GERM086","noaa-tree-10692.xml","./data_files/treering/measurements/europe/germ086.rwl","ok",NA,12,875,1719,1825,NA,NA,NA,NA,"",0,""
"GERM087","noaa-tree-10693.xml","./data_files/treering/measurements/europe/germ087.rwl","ok",NA,12,1022,1633,1782,NA,NA,NA,NA,"",0,""
"GERM088","noaa-tree-10694.xml","./data_files/treering/measurements/europe/germ088.rwl","ok",NA,10,905,1712,1861,NA,NA,NA,NA,"",0,""
"GERM089","noaa-tree-10695.xml","./data_files/treering/measurements/europe/germ089.rwl","ok",NA,4,445,1370,1539,NA,NA,NA,NA,"",0,""
"GERM090","noaa-tree-10696.xml","./data_files/treering/measurements/europe/germ090.rwl","ok",NA,28,2243,1649,1838,NA,NA,NA,NA,"",0,""
"GERM091","noaa-tree-10697.xml","./data_files/treering/measurements/europe/germ091.rwl","ok",NA,9,933,1548,1714,NA,NA,NA,NA,"",0,""
"GERM092","noaa-tree-10698.xml","./data_files/treering/measurements/europe/germ092.rwl","ok",NA,7,559,1560,1672,NA,NA,NA,NA,"",0,""
"GERM094","noaa-tree-10699.xml","./data_files/treering/measurements/europe/germ094.rwl","ok",NA,6,354,1733,1825,NA,NA,NA,NA,"",0,""
"GERM095","noaa-tree-10700.xml","./data_files/treering/measurements/europe/germ095.rwl","ok",NA,3,218,1757,1844,NA,NA,NA,NA,"",0,""
"GERM096","noaa-tree-10701.xml","./data_files/treering/measurements/europe/germ096.rwl","ok",NA,5,313,1538,1625,NA,NA,NA,NA,"",0,""
"GERM097","noaa-tree-10702.xml","./data_files/treering/measurements/europe/germ097.rwl","ok",NA,3,263,1773,1874,NA,NA,NA,NA,"",0,""
"GERM098","noaa-tree-10703.xml","./data_files/treering/measurements/europe/germ098.rwl","ok",NA,7,570,1683,1839,NA,NA,NA,NA,"",0,""
"GERM100","noaa-tree-10704.xml","./data_files/treering/measurements/europe/germ100.rwl","ok",NA,3,180,1508,1579,NA,NA,NA,NA,"",0,""
"GERM102","noaa-tree-10705.xml","./data_files/treering/measurements/europe/germ102.rwl","ok",NA,16,1602,1740,1930,NA,NA,NA,NA,"",0,""
"GERM103","noaa-tree-10706.xml","./data_files/treering/measurements/europe/germ103.rwl","ok",NA,17,1373,1702,1828,NA,NA,NA,NA,"",0,""
"GERM104","noaa-tree-10707.xml","./data_files/treering/measurements/europe/germ104.rwl","ok",NA,12,696,1656,1800,NA,NA,NA,NA,"",0,""
"GERM105","noaa-tree-10708.xml","./data_files/treering/measurements/europe/germ105.rwl","ok",NA,8,446,1499,1588,NA,NA,NA,NA,"",0,""
"GERM106","noaa-tree-10709.xml","./data_files/treering/measurements/europe/germ106.rwl","ok",NA,6,505,1789,1885,NA,NA,NA,NA,"",0,""
"FRAN041","noaa-tree-10710.xml","./data_files/treering/measurements/europe/fran041.rwl","ok",NA,52,6910,1781,2003,NA,NA,NA,NA,"",0,""
"ITAL028","noaa-tree-10711.xml","./data_files/treering/measurements/europe/ital028.rwl","ok",NA,47,2479,1901,2007,NA,NA,NA,NA,"",0,""
"KYRG001","noaa-tree-10712.xml","./data_files/treering/measurements/asia/kyrg001.rwl","ok",NA,51,4461,1839,1995,NA,NA,NA,NA,"",0,""
"KYRG002","noaa-tree-10713.xml","./data_files/treering/measurements/asia/kyrg002.rwl","ok",NA,33,9990,1346,1995,NA,NA,NA,NA,"",0,""
"PAKI001","noaa-tree-10714.xml","./data_files/treering/measurements/asia/paki001.rwl","ok",NA,31,5421,1593,1993,NA,NA,NA,NA,"",0,""
"PAKI002","noaa-tree-10715.xml","./data_files/treering/measurements/asia/paki002.rwl","ok",NA,38,9689,1369,1993,NA,NA,NA,NA,"",0,""
"PAKI003","noaa-tree-10716.xml","./data_files/treering/measurements/asia/paki003.rwl","ok",NA,37,8096,1438,1999,NA,NA,NA,NA,"",0,""
"PAKI004","noaa-tree-10717.xml","./data_files/treering/measurements/asia/paki004.rwl","ok",NA,25,6291,1240,1999,NA,NA,NA,NA,"",0,""
"POLA022","noaa-tree-10718.xml","./data_files/treering/measurements/europe/pola022.rwl","ok",NA,46,6602,1687,2004,NA,NA,NA,NA,"",0,""
"ROMA005","noaa-tree-10719.xml","./data_files/treering/measurements/europe/roma005.rwl","ok",NA,20,1534,1884,1981,NA,NA,NA,NA,"",0,""
"WY037","noaa-tree-10720.xml","./data_files/treering/measurements/northamerica/usa/wy037.rwl","ok",NA,68,21392,1315,2006,NA,NA,NA,NA,"",0,""
"SWIT195","noaa-tree-10721.xml","./data_files/treering/measurements/europe/swit195.rwl","ok",NA,5,1729,1,669,NA,NA,NA,NA,"",0,""
"SWIT196","noaa-tree-10722.xml","./data_files/treering/measurements/europe/swit196.rwl","ok",NA,7,1676,1,375,NA,NA,NA,NA,"",0,""
"SWIT197","noaa-tree-10723.xml","./data_files/treering/measurements/europe/swit197.rwl","ok",NA,9,2039,1,318,NA,NA,NA,NA,"",0,""
"SWIT198","noaa-tree-10724.xml","./data_files/treering/measurements/europe/swit198.rwl","ok",NA,20,2821,1,286,NA,NA,NA,NA,"",0,""
"SWIT199","noaa-tree-10770.xml","./data_files/treering/measurements/europe/swit199.rwl","ok",NA,10,982,1882,1994,NA,NA,NA,NA,"",0,""
"SWIT200","noaa-tree-10771.xml","./data_files/treering/measurements/europe/swit200.rwl","ok",NA,105,10931,1857,1994,NA,NA,NA,NA,"",0,""
"SWIT201","noaa-tree-10772.xml","./data_files/treering/measurements/europe/swit201.rwl","ok",NA,32,2850,1813,1996,NA,NA,NA,NA,"",0,""
"SWIT202","noaa-tree-10773.xml","./data_files/treering/measurements/europe/swit202.rwl","ok",NA,24,2188,1872,1987,NA,NA,NA,NA,"",0,""
"SWIT203","noaa-tree-10774.xml","./data_files/treering/measurements/europe/swit203.rwl","ok",NA,27,4370,1791,1998,NA,NA,NA,NA,"",0,""
"SWIT204","noaa-tree-10775.xml","./data_files/treering/measurements/europe/swit204.rwl","ok",NA,26,4072,1800,1990,NA,NA,NA,NA,"",0,""
"SWIT205","noaa-tree-10776.xml","./data_files/treering/measurements/europe/swit205.rwl","ok",NA,2,322,1830,1990,NA,NA,NA,NA,"",0,""
"SWIT206","noaa-tree-10777.xml","./data_files/treering/measurements/europe/swit206.rwl","ok",NA,20,1244,1907,1995,NA,NA,NA,NA,"",0,""
"SWIT207","noaa-tree-10778.xml","./data_files/treering/measurements/europe/swit207.rwl","ok",NA,24,1920,1890,1988,NA,NA,NA,NA,"",0,""
"SWIT208","noaa-tree-10779.xml","./data_files/treering/measurements/europe/swit208.rwl","ok",NA,12,791,1908,1999,NA,NA,NA,NA,"",0,""
"SWIT209","noaa-tree-10780.xml","./data_files/treering/measurements/europe/swit209.rwl","ok",NA,45,7193,1701,2005,NA,NA,NA,NA,"",0,""
"SWIT211","noaa-tree-10782.xml","./data_files/treering/measurements/europe/swit211.rwl","ok",NA,22,1649,1829,1992,NA,NA,NA,NA,"",0,""
"SWIT212","noaa-tree-10783.xml","./data_files/treering/measurements/europe/swit212.rwl","ok",NA,47,3897,1890,1992,NA,NA,NA,NA,"",0,""
"SWIT213","noaa-tree-10784.xml","./data_files/treering/measurements/europe/swit213.rwl","ok",NA,13,1542,1833,1999,NA,NA,NA,NA,"",0,""
"SWIT214","noaa-tree-10785.xml","./data_files/treering/measurements/europe/swit214.rwl","ok",NA,20,1140,1941,1997,NA,NA,NA,NA,"",0,""
"SWIT215","noaa-tree-10786.xml","./data_files/treering/measurements/europe/swit215.rwl","ok",NA,35,5567,1739,1998,NA,NA,NA,NA,"",0,""
"SWIT216","noaa-tree-10787.xml","./data_files/treering/measurements/europe/swit216.rwl","ok",NA,18,1652,1886,1995,NA,NA,NA,NA,"",0,""
"SWIT217","noaa-tree-10788.xml","./data_files/treering/measurements/europe/swit217.rwl","ok",NA,20,2004,1888,1995,NA,NA,NA,NA,"",0,""
"SWIT218","noaa-tree-10789.xml","./data_files/treering/measurements/europe/swit218.rwl","ok",NA,121,22309,1767,1996,NA,NA,NA,NA,"",0,""
"SWIT210","noaa-tree-10791.xml","./data_files/treering/measurements/europe/swit210.rwl","ok",NA,65,5516,1806,1994,NA,NA,NA,NA,"",0,""
"RUSS208","noaa-tree-11228.xml","./data_files/treering/measurements/asia/russ208.rwl","ok",NA,39,2010,1921,2005,NA,NA,NA,NA,"",0,""
"AK097","noaa-tree-12444.xml","./data_files/treering/measurements/northamerica/usa/ak097.rwl","ok",NA,25,6532,1625,1998,NA,NA,NA,NA,"",0,""
"AK098","noaa-tree-12445.xml","./data_files/treering/measurements/northamerica/usa/ak098.rwl","ok",NA,43,12940,1550,1999,NA,NA,NA,NA,"",0,""
"AK099","noaa-tree-12446.xml","./data_files/treering/measurements/northamerica/usa/ak099.rwl","ok",NA,23,6180,1622,1989,NA,NA,NA,NA,"",0,""
"AK100","noaa-tree-12447.xml","./data_files/treering/measurements/northamerica/usa/ak100.rwl","ok",NA,50,15068,1550,2000,NA,NA,NA,NA,"",0,""
"AK101","noaa-tree-12448.xml","./data_files/treering/measurements/northamerica/usa/ak101.rwl","ok",NA,55,20373,1343,1999,NA,NA,NA,NA,"",0,""
"AK102","noaa-tree-12449.xml","./data_files/treering/measurements/northamerica/usa/ak102.rwl","ok",NA,45,17001,1380,1999,NA,NA,NA,NA,"",0,""
"AK103","noaa-tree-12450.xml","./data_files/treering/measurements/northamerica/usa/ak103.rwl","ok",NA,34,7877,1556,1990,NA,NA,NA,NA,"",0,""
"AK104","noaa-tree-12451.xml","./data_files/treering/measurements/northamerica/usa/ak104.rwl","ok",NA,122,33775,1303,2000,NA,NA,NA,NA,"",0,""
"AK105","noaa-tree-12463.xml","./data_files/treering/measurements/northamerica/usa/ak105.rwl","ok",NA,19,5859,1533,1999,NA,NA,NA,NA,"",0,""
"AK106","noaa-tree-12464.xml","./data_files/treering/measurements/northamerica/usa/ak106.rwl","ok",NA,70,23928,952,1979,NA,NA,NA,NA,"",0,""
"AK107","noaa-tree-12465.xml","./data_files/treering/measurements/northamerica/usa/ak107.rwl","ok",NA,32,11871,1410,2000,NA,NA,NA,NA,"",0,""
"AK108","noaa-tree-12466.xml","./data_files/treering/measurements/northamerica/usa/ak108.rwl","ok",NA,43,8215,1731,1986,NA,NA,NA,NA,"",0,""
"AK109","noaa-tree-12467.xml","./data_files/treering/measurements/northamerica/usa/ak109.rwl","ok",NA,31,6710,1524,1990,NA,NA,NA,NA,"",0,""
"AK110","noaa-tree-12468.xml","./data_files/treering/measurements/northamerica/usa/ak110.rwl","ok",NA,83,16881,980,1990,NA,NA,NA,NA,"",0,""
"BT001","noaa-tree-12484.xml","./data_files/treering/measurements/asia/bt001.rwl","ok",NA,26,10088,1294,2003,NA,NA,NA,NA,"",0,""
"BT002","noaa-tree-12485.xml","./data_files/treering/measurements/asia/bt002.rwl","ok",NA,43,14588,1454,2003,NA,NA,NA,NA,"",0,""
"BT003","noaa-tree-12486.xml","./data_files/treering/measurements/asia/bt003.rwl","ok",NA,22,6713,1520,2003,NA,NA,NA,NA,"",0,""
"BT004","noaa-tree-12487.xml","./data_files/treering/measurements/asia/bt004.rwl","ok",NA,20,6129,1481,2003,NA,NA,NA,NA,"",0,""
"BT005","noaa-tree-12488.xml","./data_files/treering/measurements/asia/bt005.rwl","ok",NA,13,3383,1582,2006,NA,NA,NA,NA,"",0,""
"BT006","noaa-tree-12489.xml","./data_files/treering/measurements/asia/bt006.rwl","ok",NA,17,5501,1400,2005,NA,NA,NA,NA,"",1,"In ./data_files/treering/measurements/asia/bt006.rwl, series CAMPS12B is entered as 2 separately terminated records that share no year: 1550-1699, 1740-2005. They have been read as one series with a 40-year gap where the file records nothing. Entering one core as several terminated records is allowable and usually means just that. Worth a look only to rule out the other reading, that these are different cores sharing an ID."
"BT007","noaa-tree-12546.xml","./data_files/treering/measurements/asia/bt007.rwl","ok",NA,15,4246,1611,2005,NA,NA,NA,NA,"",0,""
"BT008","noaa-tree-12547.xml","./data_files/treering/measurements/asia/bt008.rwl","ok",NA,44,19574,1280,2003,NA,NA,NA,NA,"",0,""
"BT009","noaa-tree-12548.xml","./data_files/treering/measurements/asia/bt009.rwl","ok",NA,19,6528,1457,2002,NA,NA,NA,NA,"",0,""
"BT010","noaa-tree-12549.xml","./data_files/treering/measurements/asia/bt010.rwl","ok",NA,17,6125,1484,2005,NA,NA,NA,NA,"",0,""
"BT011","noaa-tree-12550.xml","./data_files/treering/measurements/asia/bt011.rwl","ok",NA,13,3202,1456,2005,NA,NA,NA,NA,"",0,""
"BT012","noaa-tree-12551.xml","./data_files/treering/measurements/asia/bt012.rwl","ok",NA,37,7482,1625,2003,NA,NA,NA,NA,"",0,""
"BT013","noaa-tree-12552.xml","./data_files/treering/measurements/asia/bt013.rwl","ok",NA,12,2022,1741,2005,NA,NA,NA,NA,"",0,""
"BT014","noaa-tree-12553.xml","./data_files/treering/measurements/asia/bt014.rwl","ok",NA,47,10635,1650,2003,NA,NA,NA,NA,"",0,""
"BT015","noaa-tree-12554.xml","./data_files/treering/measurements/asia/bt015.rwl","ok",NA,30,4395,1777,2003,NA,NA,NA,NA,"",0,""
"BT016","noaa-tree-12555.xml","./data_files/treering/measurements/asia/bt016.rwl","ok",NA,21,5564,1644,2006,NA,NA,NA,NA,"",0,""
"BT017","noaa-tree-12556.xml","./data_files/treering/measurements/asia/bt017.rwl","ok",NA,25,6973,1620,2005,NA,NA,NA,NA,"",0,""
"BT018","noaa-tree-12557.xml","./data_files/treering/measurements/asia/bt018.rwl","ok",NA,23,5702,1453,2006,NA,NA,NA,NA,"",0,""
"BT019","noaa-tree-12558.xml","./data_files/treering/measurements/asia/bt019.rwl","ok",NA,15,3362,1660,2006,NA,NA,NA,NA,"",0,""
"BT020","noaa-tree-12559.xml","./data_files/treering/measurements/asia/bt020.rwl","ok",NA,16,3005,1720,2006,NA,NA,NA,NA,"",0,""
"CANA308","noaa-tree-12563.xml","./data_files/treering/measurements/northamerica/canada/cana308.rwl","ok",NA,69,24900,799,2005,NA,NA,NA,NA,"",0,""
"CANA309","noaa-tree-12564.xml","./data_files/treering/measurements/northamerica/canada/cana309.rwl","ok",NA,16,2956,1517,1988,NA,NA,NA,NA,"",0,""
"CANA310","noaa-tree-12565.xml","./data_files/treering/measurements/northamerica/canada/cana310.rwl","ok",NA,75,14666,1550,1996,NA,NA,NA,NA,"",0,""
"CANA311","noaa-tree-12566.xml","./data_files/treering/measurements/northamerica/canada/cana311.rwl","ok",NA,27,6287,1526,1998,NA,NA,NA,NA,"",0,""
"CANA312","noaa-tree-12567.xml","./data_files/treering/measurements/northamerica/canada/cana312.rwl","ok",NA,52,8220,1548,1997,NA,NA,NA,NA,"",0,""
