"file","series","year","severity","check","detail"
"asia/indi002n.rwl","G2036",1900,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1900 but the ID continues; a 12-year gap separates the two blocks"
"asia/indi002x.rwl","01031",1902,"accepted practice","interior year gap","25 year(s) missing (1902-1926); read.tucson fills these with 0"
"asia/indi002x.rwl","01032",1825,"accepted practice","interior year gap","35 year(s) missing (1825-1859); read.tucson fills these with 0"
"asia/indi002x.rwl","01036",1902,"accepted practice","interior year gap","11 year(s) missing (1902-1912); read.tucson fills these with 0"
"asia/indi002x.rwl","01031",1900,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1900 but the ID continues; a 26-year gap separates the two blocks"
"asia/indi002x.rwl","01032",1820,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1820 but the ID continues; a 36-year gap separates the two blocks"
"asia/indi002x.rwl","01036",1900,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1900 but the ID continues; a 12-year gap separates the two blocks"
"asia/indi003e.rwl","K3070",1879,"accepted practice","interior year gap","46 year(s) missing (1879-1924); read.tucson fills these with 0"
"asia/indi003e.rwl","K3071",1780,"accepted practice","interior year gap","11 year(s) missing (1780-1790); read.tucson fills these with 0"
"asia/indi003e.rwl","K3070",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 47-year gap separates the two blocks"
"asia/indi003e.rwl","K3071",1770,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1770 but the ID continues; a 12-year gap separates the two blocks"
"asia/indi003l.rwl","01070",1879,"accepted practice","interior year gap","46 year(s) missing (1879-1924); read.tucson fills these with 0"
"asia/indi003l.rwl","01071",1780,"accepted practice","interior year gap","11 year(s) missing (1780-1790); read.tucson fills these with 0"
"asia/indi003l.rwl","01070",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 47-year gap separates the two blocks"
"asia/indi003l.rwl","01071",1770,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1770 but the ID continues; a 12-year gap separates the two blocks"
"asia/indi003n.rwl","K2070",1879,"accepted practice","interior year gap","46 year(s) missing (1879-1924); read.tucson fills these with 0"
"asia/indi003n.rwl","K2071",1780,"accepted practice","interior year gap","11 year(s) missing (1780-1790); read.tucson fills these with 0"
"asia/indi003n.rwl","K2070",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 47-year gap separates the two blocks"
"asia/indi003n.rwl","K2071",1770,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1770 but the ID continues; a 12-year gap separates the two blocks"
"asia/indi003x.rwl","01070",1879,"accepted practice","interior year gap","46 year(s) missing (1879-1924); read.tucson fills these with 0"
"asia/indi003x.rwl","01071",1780,"accepted practice","interior year gap","11 year(s) missing (1780-1790); read.tucson fills these with 0"
"asia/indi003x.rwl","01070",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 47-year gap separates the two blocks"
"asia/indi003x.rwl","01071",1770,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1770 but the ID continues; a 12-year gap separates the two blocks"
"asia/indi004.rwl","01179",1894,"accepted practice","interior year gap","33 year(s) missing (1894-1926); read.tucson fills these with 0"
"asia/indi004.rwl","01181",1837,"accepted practice","interior year gap","6 year(s) missing (1837-1842); read.tucson fills these with 0"
"asia/indi004.rwl","01179",1890,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1890 but the ID continues; a 34-year gap separates the two blocks"
"asia/indi004.rwl","01181",1830,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1830 but the ID continues; a 7-year gap separates the two blocks"
"asia/indi004e.rwl","01179",1894,"accepted practice","interior year gap","33 year(s) missing (1894-1926); read.tucson fills these with 0"
"asia/indi004e.rwl","01181",1837,"accepted practice","interior year gap","6 year(s) missing (1837-1842); read.tucson fills these with 0"
"asia/indi004e.rwl","01179",1890,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1890 but the ID continues; a 34-year gap separates the two blocks"
"asia/indi004e.rwl","01181",1830,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1830 but the ID continues; a 7-year gap separates the two blocks"
"asia/indi004l.rwl","01179",1894,"accepted practice","interior year gap","33 year(s) missing (1894-1926); read.tucson fills these with 0"
"asia/indi004l.rwl","01181",1837,"accepted practice","interior year gap","6 year(s) missing (1837-1842); read.tucson fills these with 0"
"asia/indi004l.rwl","01179",1890,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1890 but the ID continues; a 34-year gap separates the two blocks"
"asia/indi004l.rwl","01181",1830,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1830 but the ID continues; a 7-year gap separates the two blocks"
"asia/indi004n.rwl","01179",1894,"accepted practice","interior year gap","33 year(s) missing (1894-1926); read.tucson fills these with 0"
"asia/indi004n.rwl","01181",1837,"accepted practice","interior year gap","6 year(s) missing (1837-1842); read.tucson fills these with 0"
"asia/indi004n.rwl","01179",1890,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1890 but the ID continues; a 34-year gap separates the two blocks"
"asia/indi004n.rwl","01181",1830,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1830 but the ID continues; a 7-year gap separates the two blocks"
"asia/indi004x.rwl","01179",1894,"accepted practice","interior year gap","33 year(s) missing (1894-1926); read.tucson fills these with 0"
"asia/indi004x.rwl","01181",1837,"accepted practice","interior year gap","6 year(s) missing (1837-1842); read.tucson fills these with 0"
"asia/indi004x.rwl","01179",1890,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1890 but the ID continues; a 34-year gap separates the two blocks"
"asia/indi004x.rwl","01181",1830,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1830 but the ID continues; a 7-year gap separates the two blocks"
"asia/indi006.rwl","01084",1924,"accepted practice","interior year gap","4 year(s) missing (1924-1927); read.tucson fills these with 0"
"asia/indi006.rwl","01097",1876,"accepted practice","interior year gap","44 year(s) missing (1876-1919); read.tucson fills these with 0"
"asia/indi006.rwl","01084",1920,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1920 but the ID continues; a 5-year gap separates the two blocks"
"asia/indi006.rwl","01097",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 45-year gap separates the two blocks"
"asia/indi006e.rwl","T3084",1924,"accepted practice","interior year gap","4 year(s) missing (1924-1927); read.tucson fills these with 0"
"asia/indi006e.rwl","T3097",1876,"accepted practice","interior year gap","44 year(s) missing (1876-1919); read.tucson fills these with 0"
"asia/indi006e.rwl","T3084",1920,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1920 but the ID continues; a 5-year gap separates the two blocks"
"asia/indi006e.rwl","T3097",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 45-year gap separates the two blocks"
"asia/indi006l.rwl","01084",1924,"accepted practice","interior year gap","4 year(s) missing (1924-1927); read.tucson fills these with 0"
"asia/indi006l.rwl","01097",1876,"accepted practice","interior year gap","44 year(s) missing (1876-1919); read.tucson fills these with 0"
"asia/indi006l.rwl","01084",1920,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1920 but the ID continues; a 5-year gap separates the two blocks"
"asia/indi006l.rwl","01097",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 45-year gap separates the two blocks"
"asia/indi006n.rwl","T2084",1924,"accepted practice","interior year gap","4 year(s) missing (1924-1927); read.tucson fills these with 0"
"asia/indi006n.rwl","T2097",1876,"accepted practice","interior year gap","44 year(s) missing (1876-1919); read.tucson fills these with 0"
"asia/indi006n.rwl","T2084",1920,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1920 but the ID continues; a 5-year gap separates the two blocks"
"asia/indi006n.rwl","T2097",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 45-year gap separates the two blocks"
"asia/indi006x.rwl","01084",1924,"accepted practice","interior year gap","4 year(s) missing (1924-1927); read.tucson fills these with 0"
"asia/indi006x.rwl","01097",1876,"accepted practice","interior year gap","44 year(s) missing (1876-1919); read.tucson fills these with 0"
"asia/indi006x.rwl","01084",1920,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1920 but the ID continues; a 5-year gap separates the two blocks"
"asia/indi006x.rwl","01097",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 45-year gap separates the two blocks"
"asia/indi007.rwl","01187",1876,"accepted practice","interior year gap","14 year(s) missing (1876-1889); read.tucson fills these with 0"
"asia/indi007.rwl","01191",1831,"accepted practice","interior year gap","1 year(s) missing (1831-1831); read.tucson fills these with 0"
"asia/indi007.rwl","01187",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 15-year gap separates the two blocks"
"asia/indi007.rwl","01191",1830,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1830 but the ID continues; a 2-year gap separates the two blocks"
"asia/indi007e.rwl","01187",1876,"accepted practice","interior year gap","14 year(s) missing (1876-1889); read.tucson fills these with 0"
"asia/indi007e.rwl","01191",1831,"accepted practice","interior year gap","1 year(s) missing (1831-1831); read.tucson fills these with 0"
"asia/indi007e.rwl","01187",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 15-year gap separates the two blocks"
"asia/indi007e.rwl","01191",1830,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1830 but the ID continues; a 2-year gap separates the two blocks"
"asia/indi007l.rwl","01187",1876,"accepted practice","interior year gap","14 year(s) missing (1876-1889); read.tucson fills these with 0"
"asia/indi007l.rwl","01191",1831,"accepted practice","interior year gap","1 year(s) missing (1831-1831); read.tucson fills these with 0"
"asia/indi007l.rwl","01187",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 15-year gap separates the two blocks"
"asia/indi007l.rwl","01191",1830,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1830 but the ID continues; a 2-year gap separates the two blocks"
"asia/indi007n.rwl","01187",1876,"accepted practice","interior year gap","14 year(s) missing (1876-1889); read.tucson fills these with 0"
"asia/indi007n.rwl","01191",1831,"accepted practice","interior year gap","1 year(s) missing (1831-1831); read.tucson fills these with 0"
"asia/indi007n.rwl","01187",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 15-year gap separates the two blocks"
"asia/indi007n.rwl","01191",1830,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1830 but the ID continues; a 2-year gap separates the two blocks"
"asia/indi007x.rwl","01187",1876,"accepted practice","interior year gap","14 year(s) missing (1876-1889); read.tucson fills these with 0"
"asia/indi007x.rwl","01191",1831,"accepted practice","interior year gap","1 year(s) missing (1831-1831); read.tucson fills these with 0"
"asia/indi007x.rwl","01187",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 15-year gap separates the two blocks"
"asia/indi007x.rwl","01191",1830,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1830 but the ID continues; a 2-year gap separates the two blocks"
"asia/japa012.rwl","TSOrw03A",1923,"accepted practice","interior year gap","2 year(s) missing (1923-1924); read.tucson fills these with 0"
"asia/japa012.rwl","TSOrw08A",1925,"accepted practice","interior year gap","1 year(s) missing (1925-1925); read.tucson fills these with 0"
"asia/japa012.rwl","TSOrw09a",1819,"accepted practice","interior year gap","1 year(s) missing (1819-1819); read.tucson fills these with 0"
"asia/japa012.rwl","TSOrw11A",1815,"accepted practice","interior year gap","4 year(s) missing (1815-1818); read.tucson fills these with 0"
"asia/japa012.rwl","TSOrw14A",1816,"accepted practice","interior year gap","6 year(s) missing (1816-1821); read.tucson fills these with 0"
"asia/japa012.rwl","TSOrw27A",1868,"accepted practice","interior year gap","6 year(s) missing (1868-1873); read.tucson fills these with 0"
"asia/japa012.rwl","TSOrw31",1627,"accepted practice","interior year gap","5 year(s) missing (1627-1819); read.tucson fills these with 0"
"asia/japa012.rwl","TSOrw37",1819,"accepted practice","interior year gap","5 year(s) missing (1819-1823); read.tucson fills these with 0"
"asia/japa012.rwl","TSOrw39",1699,"accepted practice","interior year gap","6 year(s) missing (1699-1704); read.tucson fills these with 0"
"asia/japa012.rwl","TSOrw03A",1920,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1920 but the ID continues; a 3-year gap separates the two blocks"
"asia/japa012.rwl","TSOrw08A",1920,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1920 but the ID continues; a 2-year gap separates the two blocks"
"asia/japa012.rwl","TSOrw09a",1810,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1810 but the ID continues; a 2-year gap separates the two blocks"
"asia/japa012.rwl","TSOrw11A",1810,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1810 but the ID continues; a 5-year gap separates the two blocks"
"asia/japa012.rwl","TSOrw14A",1810,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1810 but the ID continues; a 7-year gap separates the two blocks"
"asia/japa012.rwl","TSOrw27A",1860,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1860 but the ID continues; a 7-year gap separates the two blocks"
"asia/japa012.rwl","TSOrw31",1620,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1620 but the ID continues; a 5-year gap separates the two blocks"
"asia/japa012.rwl","TSOrw37",1810,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1810 but the ID continues; a 6-year gap separates the two blocks"
"asia/japa012.rwl","TSOrw39",1690,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1690 but the ID continues; a 7-year gap separates the two blocks"
"asia/japa012x.rwl","TSOmx10A",1859,"accepted practice","interior year gap","1 year(s) missing (1859-1859); read.tucson fills these with 0"
"asia/japa012x.rwl","TSOmx30a",1901,"accepted practice","interior year gap","46 year(s) missing (1901-1946); read.tucson fills these with 0"
"asia/japa012x.rwl","TSOmx10A",1850,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1850 but the ID continues; a 2-year gap separates the two blocks"
"asia/japa012x.rwl","TSOmx30a",1900,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1900 but the ID continues; a 47-year gap separates the two blocks"
"asia/japa013x.rwl","Mmx41c",1738,"accepted practice","interior year gap","23 year(s) missing (1738-1760); read.tucson fills these with 0"
"asia/japa013x.rwl","Mmx41c",1730,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1730 but the ID continues; a 24-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw01b",1755,"accepted practice","interior year gap","110 year(s) missing (1755-1864); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw03a",1514,"accepted practice","interior year gap","17 year(s) missing (1514-1530); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw06c",1873,"accepted practice","interior year gap","7 year(s) missing (1873-1879); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw27a",1727,"accepted practice","interior year gap","4 year(s) missing (1727-1730); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw33a",1641,"accepted practice","interior year gap","7 year(s) missing (1641-1647); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw33b",1685,"accepted practice","interior year gap","4 year(s) missing (1685-1688); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw35a",1819,"accepted practice","interior year gap","2 year(s) missing (1819-1820); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw39a",1858,"accepted practice","interior year gap","1 year(s) missing (1858-1858); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw40a",1863,"accepted practice","interior year gap","3 year(s) missing (1863-1865); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw43a",1741,"accepted practice","interior year gap","1 year(s) missing (1741-1741); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw48a",1602,"accepted practice","interior year gap","8 year(s) missing (1602-1609); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw49a",1782,"accepted practice","interior year gap","13 year(s) missing (1782-1794); read.tucson fills these with 0"
"asia/japa014.rwl","TKCrw01b",1750,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1750 but the ID continues; a 111-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw03a",1510,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1510 but the ID continues; a 18-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw06c",1870,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1870 but the ID continues; a 8-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw27a",1720,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1720 but the ID continues; a 5-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw33a",1640,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1640 but the ID continues; a 8-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw33b",1680,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1680 but the ID continues; a 5-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw35a",1810,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1810 but the ID continues; a 3-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw39a",1850,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1850 but the ID continues; a 2-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw40a",1860,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1860 but the ID continues; a 4-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw43a",1740,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1740 but the ID continues; a 2-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw48a",1600,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1600 but the ID continues; a 9-year gap separates the two blocks"
"asia/japa014.rwl","TKCrw49a",1780,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1780 but the ID continues; a 14-year gap separates the two blocks"
"asia/japa014x.rwl","Tmx03a",1514,"accepted practice","interior year gap","110 year(s) missing (1514-1723); read.tucson fills these with 0"
"asia/japa014x.rwl","Tmx207b",1946,"accepted practice","interior year gap","8 year(s) missing (1946-1953); read.tucson fills these with 0"
"asia/japa014x.rwl","Tmx211b",1760,"accepted practice","interior year gap","10 year(s) missing (1760-1769); read.tucson fills these with 0"
"asia/japa014x.rwl","Tmx33a",1727,"accepted practice","interior year gap","107 year(s) missing (1727-1833); read.tucson fills these with 0"
"asia/japa014x.rwl","Tmx35a",1819,"accepted practice","interior year gap","2 year(s) missing (1819-1820); read.tucson fills these with 0"
"asia/japa014x.rwl","Tmx37a",1754,"accepted practice","interior year gap","49 year(s) missing (1754-1802); read.tucson fills these with 0"
"asia/japa014x.rwl","Tmx39a",1858,"accepted practice","interior year gap","1 year(s) missing (1858-1858); read.tucson fills these with 0"
"asia/japa014x.rwl","Tmx40a",1863,"accepted practice","interior year gap","3 year(s) missing (1863-1865); read.tucson fills these with 0"
"asia/japa014x.rwl","Tmx42b",1802,"accepted practice","interior year gap","18 year(s) missing (1802-1819); read.tucson fills these with 0"
"asia/japa014x.rwl","Tmx43a",1740,"accepted practice","interior year gap","2 year(s) missing (1740-1741); read.tucson fills these with 0"
"asia/japa014x.rwl","Tmx51b",1800,"accepted practice","interior year gap","4 year(s) missing (1800-1803); read.tucson fills these with 0"
"asia/japa014x.rwl","Tmx03a",1510,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1510 but the ID continues; a 18-year gap separates the two blocks"
"asia/japa014x.rwl","Tmx207b",1940,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1940 but the ID continues; a 9-year gap separates the two blocks"
"asia/japa014x.rwl","Tmx33a",1720,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1720 but the ID continues; a 108-year gap separates the two blocks"
"asia/japa014x.rwl","Tmx35a",1810,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1810 but the ID continues; a 3-year gap separates the two blocks"
"asia/japa014x.rwl","Tmx37a",1750,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1750 but the ID continues; a 50-year gap separates the two blocks"
"asia/japa014x.rwl","Tmx39a",1850,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1850 but the ID continues; a 2-year gap separates the two blocks"
"asia/japa014x.rwl","Tmx40a",1860,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1860 but the ID continues; a 4-year gap separates the two blocks"
"asia/japa014x.rwl","Tmx42b",1800,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1800 but the ID continues; a 19-year gap separates the two blocks"
"asia/japa014x.rwl","Tmx43a",1730,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1730 but the ID continues; a 3-year gap separates the two blocks"
"asia/japa016.rwl","SJTrw02A",1979,"accepted practice","interior year gap","1 year(s) missing (1979-1979); read.tucson fills these with 0"
"asia/japa016.rwl","SJTrw02B",1920,"accepted practice","interior year gap","1 year(s) missing (1920-1920); read.tucson fills these with 0"
"asia/japa016.rwl","SJTrw03",1919,"accepted practice","interior year gap","2 year(s) missing (1919-1920); read.tucson fills these with 0"
"asia/japa016.rwl","SJTrw05A",1991,"accepted practice","interior year gap","1 year(s) missing (1991-1991); read.tucson fills these with 0"
"asia/japa016.rwl","SJTrw19A",1958,"accepted practice","interior year gap","2 year(s) missing (1958-1959); read.tucson fills these with 0"
"asia/japa016.rwl","SJTrw02A",1970,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1970 but the ID continues; a 2-year gap separates the two blocks"
"asia/japa016.rwl","SJTrw02B",1910,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1910 but the ID continues; a 2-year gap separates the two blocks"
"asia/japa016.rwl","SJTrw03",1910,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1910 but the ID continues; a 3-year gap separates the two blocks"
"asia/japa016.rwl","SJTrw05A",1990,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1990 but the ID continues; a 2-year gap separates the two blocks"
"asia/japa016.rwl","SJTrw19A",1950,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1950 but the ID continues; a 3-year gap separates the two blocks"
"asia/japa016x.rwl","Smx010a",1644,"accepted practice","interior year gap","65 year(s) missing (1644-1860); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx013a",1681,"accepted practice","interior year gap","105 year(s) missing (1681-1891); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx013b",1831,"accepted practice","interior year gap","73 year(s) missing (1831-1966); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx015a",1661,"accepted practice","interior year gap","88 year(s) missing (1661-1836); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx01a",1931,"accepted practice","interior year gap","54 year(s) missing (1931-1984); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx01b",1808,"accepted practice","interior year gap","32 year(s) missing (1808-1870); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx04b",1843,"accepted practice","interior year gap","26 year(s) missing (1843-1965); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx14",1871,"accepted practice","interior year gap","26 year(s) missing (1871-1896); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx15",1969,"accepted practice","interior year gap","2 year(s) missing (1969-1970); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx17a",1905,"accepted practice","interior year gap","53 year(s) missing (1905-1984); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx18a",1753,"accepted practice","interior year gap","49 year(s) missing (1753-1801); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx18b",1825,"accepted practice","interior year gap","54 year(s) missing (1825-1878); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx20a",1918,"accepted practice","interior year gap","4 year(s) missing (1918-1921); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx20b",1773,"accepted practice","interior year gap","19 year(s) missing (1773-1791); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx25b",1856,"accepted practice","interior year gap","19 year(s) missing (1856-1989); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx27b",1962,"accepted practice","interior year gap","15 year(s) missing (1962-1976); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx28b",1782,"accepted practice","interior year gap","82 year(s) missing (1782-1918); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx30",1849,"accepted practice","interior year gap","64 year(s) missing (1849-1998); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx31a",1941,"accepted practice","interior year gap","1 year(s) missing (1941-1941); read.tucson fills these with 0"
"asia/japa016x.rwl","Smx010a",1640,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1640 but the ID continues; a 17-year gap separates the two blocks"
"asia/japa016x.rwl","Smx013a",1680,"accepted practice","one ID carries two separate segments","stop marker ends a line at 1680 but the ID continues; a 44-year gap separates the two blocks"
