study,file,verdict,status_2024,pathology,detail,allequal_2024
ca657,data_files/treering/measurements/northamerica/usa/ca657.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca658,data_files/treering/measurements/northamerica/usa/ca658.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca659,data_files/treering/measurements/northamerica/usa/ca659.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca660,data_files/treering/measurements/northamerica/usa/ca660.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca661,data_files/treering/measurements/northamerica/usa/ca661.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca662,data_files/treering/measurements/northamerica/usa/ca662.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca663,data_files/treering/measurements/northamerica/usa/ca663.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca664,data_files/treering/measurements/northamerica/usa/ca664.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca665,data_files/treering/measurements/northamerica/usa/ca665.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca688,data_files/treering/measurements/northamerica/usa/ca688.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ca689,data_files/treering/measurements/northamerica/usa/ca689.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
can694,data_files/treering/measurements/northamerica/canada/can694.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 6314 string mismatches
can695,data_files/treering/measurements/northamerica/canada/can695.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 7645 string mismatches
can696,data_files/treering/measurements/northamerica/canada/can696.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 7783 string mismatches
can697,data_files/treering/measurements/northamerica/canada/can697.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 14964 string mismatches
can698,data_files/treering/measurements/northamerica/canada/can698.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 6974 string mismatches
can699,data_files/treering/measurements/northamerica/canada/can699.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 6062 string mismatches
can700,data_files/treering/measurements/northamerica/canada/can700.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 3536 string mismatches
can701,data_files/treering/measurements/northamerica/canada/can701.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 7926 string mismatches
can702,data_files/treering/measurements/northamerica/canada/can702.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 6560 string mismatches
can703,data_files/treering/measurements/northamerica/canada/can703.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 18636 string mismatches
can704,data_files/treering/measurements/northamerica/canada/can704.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 14838 string mismatches
can705,data_files/treering/measurements/northamerica/canada/can705.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 4162 string mismatches
can706,data_files/treering/measurements/northamerica/canada/can706.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 5536 string mismatches
can707,data_files/treering/measurements/northamerica/canada/can707.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 4855 string mismatches
can708,data_files/treering/measurements/northamerica/canada/can708.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 13119 string mismatches
can709,data_files/treering/measurements/northamerica/canada/can709.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 7438 string mismatches
can710,data_files/treering/measurements/northamerica/canada/can710.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 5055 string mismatches
can711,data_files/treering/measurements/northamerica/canada/can711.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 8688 string mismatches
can712,data_files/treering/measurements/northamerica/canada/can712.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 12292 string mismatches
can713,data_files/treering/measurements/northamerica/canada/can713.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 9016 string mismatches
can714,data_files/treering/measurements/northamerica/canada/can714.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 7413 string mismatches
can715,data_files/treering/measurements/northamerica/canada/can715.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 6157 string mismatches
can716,data_files/treering/measurements/northamerica/canada/can716.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",every core; every year,Column 'core': 4163 string mismatches
cana209,data_files/treering/measurements/northamerica/canada/cana209.rwl,old wrong,n/a,"Short core ID, old version read ""1"" into core ID and years shifted by 1000",EGR108,Column 'core': 103 string mismatches
chin061,data_files/treering/measurements/asia/chin061.rwl,old wrong,n/a,"Text shifted right by one space, old version misread","DLS104B; 1278, 1279; new=0.11, 0.09 old=0.01, 0.19",Column 'rw': Mean relative difference: 0.0003739646
co006,GONE,old wrong,n/a,"Text shifted right by one space, old version misread",stu081; 1622; new=0.06 old=0.006,
co651,data_files/treering/measurements/northamerica/usa/co651.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
co652,data_files/treering/measurements/northamerica/usa/co652.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
co691,data_files/treering/measurements/northamerica/usa/co691.rwl,old wrong,n/a,"Text shifted right by one space, old version misread",wpx181; -267 and  -266,Column 'rw': Mean relative difference: 0.002758094
ct001,data_files/treering/measurements/northamerica/usa/ct001.rwl,old wrong,n/a,"Only one line of header, old version missed first two rows",PB1S; 1698 - 1709,Different number of rows
germ036,data_files/treering/measurements/europe/germ036.rwl,old wrong,n/a,"Text shifted right by one space, old version misread",SIN06B; 1925 - 1926,Column 'rw': Mean relative difference: 0.007403511
indi010,data_files/treering/measurements/asia/indi010.rwl,old wrong,n/a,Text is shifted one character to the right so old version misread,kancd11a; 1960; new=1.4 old=0.14,Column 'rw': Mean relative difference: 0.0009758515
indi025,data_files/treering/measurements/asia/indi025.rwl,old wrong,n/a,"Text shifted right by one space, old version misread","nar07b; 1963, 1964; new=12.19, 7.64 old=1.21, 97.64",Column 'rw': Mean relative difference: 0.172039
ma028,data_files/treering/measurements/northamerica/usa/ma028.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ma029,data_files/treering/measurements/northamerica/usa/ma029.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
mar035,data_files/treering/measurements/africa/mar035.rwl,old wrong,n/a,"Text shifted right by one space, old version misread",,Column 'rw': Mean relative difference: 0.00113492
mar047,data_files/treering/measurements/africa/mar047.rwl,old wrong,n/a,"Text shifted right by one space, old version misread",,Column 'rw': Mean relative difference: 0.008579524
mexi001,data_files/treering/measurements/northamerica/mexico/mexi001.rwl,old wrong,n/a,Old version missed the first line,,Different number of rows
mexi029,data_files/treering/measurements/northamerica/mexico/mexi029.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
mexi037,data_files/treering/measurements/northamerica/mexico/mexi037.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
mexi038,data_files/treering/measurements/northamerica/mexico/mexi038.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
mexi041,data_files/treering/measurements/northamerica/mexico/mexi041.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
mexi042,data_files/treering/measurements/northamerica/mexico/mexi042.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
mexi044,data_files/treering/measurements/northamerica/mexico/mexi044.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
mexi045,data_files/treering/measurements/northamerica/mexico/mexi045.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
mexi046,data_files/treering/measurements/northamerica/mexico/mexi046.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
mexi047,data_files/treering/measurements/northamerica/mexico/mexi047.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
mi021,data_files/treering/measurements/northamerica/usa/mi021.rwl,old wrong,n/a,Strange EOL caused old version to misread some data points,PLK18A; 1990 - 1999; new= old=missing,Different number of rows
mi024,data_files/treering/measurements/northamerica/usa/mi024.rwl,old wrong,n/a,Old version missed the first line,first core,
mt109,data_files/treering/measurements/northamerica/usa/mt109.rwl,old wrong,n/a,Old version missed the first line,GRM713; 1716 - 1719; new= old=missing,Different number of rows
mt158,data_files/treering/measurements/northamerica/usa/mt158.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
nc025,data_files/treering/measurements/northamerica/usa/nc025.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ne005,data_files/treering/measurements/northamerica/usa/ne005.rwl,old wrong,n/a,"Text shifted right by two spaces, old version misread",sna112; 1776 - 1779,Column 'rw': Mean relative difference: 0.0003746402
neth031,GONE (now .txt only),old wrong,n/a,"Text shifted right by one space, old version misread","ABGD544; 1948 - 1949; new=2.22 old=0.22, 22.2",Column 'rw': Mean relative difference: 0.0007581553
nj001,data_files/treering/measurements/northamerica/usa/nj001.rwl,old wrong,n/a,"Duplicated HF 2W, one with texts shifted left one space, old version read as HF 2W 1 and years shifted by 1000 years",HF2W,Column 'core': 238 string mismatches
nj002,data_files/treering/measurements/northamerica/usa/nj002.rwl,old wrong,n/a,"Duplicated HF 2W, one with texts shifted left one space, old version read as HF 2W 1 and years shifted by 1000 years",HF2W,Column 'core': 238 string mismatches
nm580,data_files/treering/measurements/northamerica/usa/nm580.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ok033,data_files/treering/measurements/northamerica/usa/ok033.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
rus319,data_files/treering/measurements/asia/rus319.rwl,old wrong,n/a,"Text shifted right by one space, old version misread",B42s7a; 1603 - 1609,Column 'rw': Mean relative difference: 0.06545608
russ218,data_files/treering/measurements/asia/russ218.rwl,old wrong,n/a,"Text shifted right by one space, old version misread","rv2s, rv8e",Column 'rw': Mean relative difference: 0.01453346
swit177x,data_files/treering/measurements/europe/swit177x.rwl,old wrong,n/a,mixed -999 and 0 for zero rings,"cores 638002, 638003, 638010: old reads -999 as zero before the 999 marker",
tx050,data_files/treering/measurements/northamerica/usa/tx050.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
tx051,data_files/treering/measurements/northamerica/usa/tx051.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
tx052,data_files/treering/measurements/northamerica/usa/tx052.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
tx053,data_files/treering/measurements/northamerica/usa/tx053.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
tx054,data_files/treering/measurements/northamerica/usa/tx054.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ut521,data_files/treering/measurements/northamerica/usa/ut521.rwl,old wrong,n/a,Old version missed the first line,SK101A; 1739; new=0.17 old=missing,Different number of rows
ut522,data_files/treering/measurements/northamerica/usa/ut522.rwl,old wrong,n/a,Old version missed the first line,SK201A; new= old=missing,Different number of rows
va021,data_files/treering/measurements/northamerica/usa/va021.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
va024,data_files/treering/measurements/northamerica/usa/va024.rwl,old wrong,n/a,Strange EOL caused old version to misread some data points,"12A, 25B",Column 'rw': Mean relative difference: 0.02569651
wi002,data_files/treering/measurements/northamerica/usa/wi002.rwl,old wrong,n/a,Old version missed the first line,first core,Different number of rows
ausl024,data_files/treering/measurements/australia/ausl024.rwl,old needs long=TRUE,n/a,years before -999,old reader correct only with long = TRUE,FALSE
brit036,data_files/treering/measurements/europe/brit036.rwl,old needs long=TRUE,n/a,years before -999,old reader correct only with long = TRUE,FALSE
brit037,data_files/treering/measurements/europe/brit037.rwl,old needs long=TRUE,n/a,years before -999,old reader correct only with long = TRUE,FALSE
brit039,data_files/treering/measurements/europe/brit039.rwl,old needs long=TRUE,n/a,years before -999,old reader correct only with long = TRUE,FALSE
chin067,data_files/treering/measurements/asia/chin067.rwl,old needs long=TRUE,n/a,years before -999,old reader correct only with long = TRUE,FALSE
chin069,data_files/treering/measurements/asia/chin069.rwl,old needs long=TRUE,n/a,years before -999,old reader correct only with long = TRUE,FALSE
swed334,data_files/treering/measurements/europe/swed334.rwl,old needs long=TRUE,n/a,years before -999,old reader correct only with long = TRUE,FALSE
turk044,data_files/treering/measurements/europe/turk044.rwl,old needs long=TRUE,n/a,years before -999,old reader correct only with long = TRUE,FALSE
turk045,data_files/treering/measurements/europe/turk045.rwl,old needs long=TRUE,n/a,years before -999,old reader correct only with long = TRUE,FALSE
turk046,data_files/treering/measurements/europe/turk046.rwl,old needs long=TRUE,n/a,years before -999,old reader correct only with long = TRUE,FALSE
