"file","series","first","last","span","n","n_zero","med","min","max","out_z","out_val","out_year","n_series","med_span","n_short","frac_short","n_overlap","r","report","tier"
"europe/finl087.rwl","ELK0442a",2007,2011,5,5,0,1.39,0.54,1.49,9.17953663923317,0.54,2007,87,30,4,0.0459770114942529,5,0.184959882830564,TRUE,"investigate"
"europe/nor035.rwl","ENS0451A",2004,2013,10,10,0,0.48,0.27,0.67,1.51709466913414,0.27,2007,101,153,10,0.099009900990099,10,0.188979301610122,TRUE,"investigate"
"europe/nor033.rwl","ENL0138B",2004,2011,8,8,0,1.29,0.68,1.94,1.26322044095046,0.68,2011,101,71,5,0.0495049504950495,8,0.19329396288731,TRUE,"investigate"
"europe/finl095.rwl","ELS0222a",2002,2011,10,10,0,0.505,0.19,0.97,1.18435218016748,0.19,2010,93,102,4,0.043010752688172,10,0.208938938841736,TRUE,"investigate"
"europe/swit290.rwl","LAS14084",1985,1992,8,8,0,3.565,2.41,4.75,1.36985263641137,2.41,1986,303,53,24,0.0792079207920792,8,0.21736524880292,TRUE,"investigate"
"europe/nor035.rwl","ENS0434B",2007,2013,7,7,0,0.94,0.58,1.36,30.7763838051307,0.58,2008,101,153,10,0.099009900990099,7,0.236446601239744,TRUE,"investigate"
"europe/norw026.rwl","ENN0245B",2005,2013,9,9,0,0.86,0.52,1.32,2.24991521377556,0.52,2006,71,61,2,0.028169014084507,9,0.237071257840789,TRUE,"investigate"
"europe/swe354.rwl","ESO0137b",2004,2013,10,10,0,0.515,0.32,0.87,1.5383559500043,0.87,2004,98,68,8,0.0816326530612245,10,0.247419083518902,TRUE,"investigate"
"europe/swed332.rwl","120040b",1999,2006,8,8,0,1.965,1.42,2.08,5.87430386610941,1.42,1999,96,55.5,2,0.0208333333333333,8,0.253299971707291,TRUE,"investigate"
"europe/che615.rwl","RCS0644b",2003,2011,9,9,0,1.21,0.4,2.16,2.73366521468589,0.4,2004,112,79.5,2,0.0178571428571429,9,0.256922075296925,TRUE,"investigate"
"europe/nor037.rwl","ENT0257a",2007,2013,7,7,0,0.63,0.42,0.8,1.20842512960522,0.42,2012,118,48,8,0.0677966101694915,7,0.261786421910773,TRUE,"investigate"
"europe/norw026.rwl","ENN0245A",2005,2013,9,9,0,0.78,0.47,1.3,1.65935377090948,1.3,2011,71,61,2,0.028169014084507,9,0.266043062085731,TRUE,"investigate"
"europe/swit285.rwl","GRA14126",1988,1993,6,6,0,1.54,0.91,2.1,2.36480840835871,0.91,1990,324,68,36,0.111111111111111,6,0.266901674050201,TRUE,"investigate"
"northamerica/usa/ca673.rwl","2_17A",2002,2008,7,7,0,4.399,2.495,5.427,2.74592137098015,2.495,2002,27,102,1,0.037037037037037,7,0.269081101460704,TRUE,"investigate"
"europe/swit290.rwl","LAS14082",1985,1992,8,8,0,3.29,2.87,5.12,2.46553728077892,5.12,1989,303,53,24,0.0792079207920792,8,0.279677641122966,TRUE,"investigate"
"europe/finl081.rwl","ELH0292a",2003,2011,9,9,0,0.34,0.24,0.59,2.28751038446062,0.59,2006,101,98,2,0.0198019801980198,9,0.289194098194998,TRUE,"investigate"
"europe/swed332.rwl","120040a",1997,2006,10,10,0,1.885,0.86,2.36,3.85297313301472,0.86,1997,96,55.5,2,0.0208333333333333,10,0.290689842941133,TRUE,"investigate"
"northamerica/usa/mt170.rwl","POW174",2005,2013,9,9,0,2.81,1.86,4.03,1.25117266485901,1.86,2007,408,72,13,0.0318627450980392,9,0.295931430738377,TRUE,"investigate"
"africa/eth002.rwl","M18C",1982,1991,10,10,0,3.31,1.96,4.39,2.17227432683536,1.96,1991,35,65,1,0.0285714285714286,10,0.296234212823875,TRUE,"investigate"
"europe/nor034.rwl","ENS0324B",2004,2013,10,10,0,0.57,0.33,0.84,2.60259140158947,0.33,2013,104,97.5,6,0.0576923076923077,10,0.297479955253761,TRUE,"investigate"
